                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
v_subj(HC.neutral).15             5.74888     0.55913     4.70437    5.37092    5.73158     6.11478    6.90571     0.028009
v_subj(HC.neutral).16             6.75913    0.545685     5.69806    6.38798    6.74806     7.12682    7.87342    0.0223684
v_subj(HC.neutral).17             6.11401     0.53569     5.17205    5.75246    6.08204     6.44815    7.29736    0.0194454
v_subj(HC.neutral).19             5.87338    0.429404     5.03313    5.57652    5.87493     6.16469    6.71318    0.0176068
v_subj(HC.neutral).20             3.81244    0.308277     3.24643    3.59627    3.81267     4.02638    4.41943    0.0126593
v_subj(HC.neutral).21              3.6786    0.274984      3.1522    3.48809    3.67742     3.87204    4.21122    0.0078781
v_subj(HC.neutral).23             6.84862    0.748153      5.5902    6.36039    6.76398     7.24866    8.63971    0.0370562
v_subj(HC.neutral).24             9.50515    0.810699     7.97709     8.9552    9.47549     10.0366    11.1458    0.0490926
v_subj(HC.neutral).25             5.74476    0.499261     4.81305    5.40436    5.72022     6.08214    6.77242    0.0219073
v_subj(HC.neutral).26             6.00532    0.475929     5.10594    5.66919    5.99039     6.32373    7.00196    0.0202785
v_subj(HC.neutral).28             8.65939    0.701118     7.25763    8.19305    8.63797      9.1085    10.0711    0.0348167
v_subj(HC.neutral).31             6.83013    0.557116     5.81902    6.44073     6.8087     7.20442    7.96642    0.0268306
v_subj(HC.neutral).32             6.68757    0.550176     5.66527    6.30275     6.6717     7.06178    7.78934    0.0257159
v_subj(HC.neutral).33             3.98492     0.32722     3.37447    3.75571    3.97343     4.19699    4.66045    0.0100796
v_subj(HC.neutral).34             6.46786    0.575281     5.41242    6.06889    6.42825     6.85342    7.65235    0.0238417
v_subj(HC.neutral).39              5.7062    0.471719     4.77132    5.40583     5.7023     6.01378    6.64657    0.0229593
v_subj(HC.neutral).40             7.67416    0.607552     6.51454    7.27981    7.66028     8.04438    8.93677    0.0252928
v_subj(HC.neutral).41             6.82581    0.564186     5.75037    6.44244    6.82547     7.20443    7.94365    0.0218686
v_subj(HC.neutral).43             6.58333     0.62227     5.50559    6.15732    6.53629     6.94264    7.98635    0.0226003
v_subj(HC.neutral).44             5.21236    0.421919     4.37247    4.92274    5.20533     5.49347    6.05748    0.0193125
v_subj(HC.neutral).46             7.71628    0.737477     6.23762    7.22048     7.7203     8.20651    9.19016    0.0258926
v_subj(HC.neutral).48               8.819    0.774966     7.38755    8.28307    8.78228     9.31702    10.4861    0.0479315
v_subj(HC.neutral).49              10.443      0.9979     8.60982    9.76397    10.3758     11.0478    12.5805    0.0592371
v_subj(HC.neutral).52             7.49309     0.65574     6.29619     7.0364    7.46995     7.90629    8.79475    0.0342511
v_subj(HC.neutral).53             10.1783    0.877124     8.30912    9.63682    10.2306     10.7804     11.795    0.0573248
